Country,Year,ConsumerIndustry,AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Top AI Tools Used,Regulation Status,Consumer Trust in AI (%),Market Share of AI Companies (%),ImpactScore
USA,2022,Automotive,96.13,10.66,45.6,39.66,Stable Diffusion,Moderate,54.47,22.76,81
France,2021,Legal,93.76,27.7,78.24,29.45,Claude,Moderate,51.84,1.93,85
France,2021,Gaming,45.62,17.45,1.05,21.7,Midjourney,Strict,41.77,21.41,79
USA,2021,Retail,47.72,0.86,27.58,64.42,ChatGPT,Lenient,68.14,8.09,67
Australia,2023,Media,6.14,6.2,53.13,53.16,Claude,Moderate,71.6,15.26,68
UK,2023,Gaming,33.87,41.67,56.26,59.93,ChatGPT,Moderate,46.98,28.51,91
France,2020,Marketing,77.53,17.41,12.56,31.57,Midjourney,Strict,56.93,38.36,71
USA,2025,Gaming,50.19,14.09,12.41,40.18,Stable Diffusion,Moderate,57.05,5.76,50
Japan,2024,Legal,96.81,8.84,51.06,23.04,Stable Diffusion,Lenient,33.16,7.6,68
UK,2025,Manufacturing,49.04,36.31,38.16,82.41,Synthesia,Lenient,78.14,20.54,65
Japan,2022,Healthcare,24.98,27.51,27.51,53.78,Midjourney,Strict,55.93,30.55,63
France,2025,Marketing,7.49,22.4,71.69,63.54,Stable Diffusion,Lenient,44.26,41.99,63
Canada,2025,Gaming,17.58,14.48,71.63,67.44,Midjourney,Strict,71.96,34.65,95
France,2022,Media,5.59,22.61,17.55,34.97,Synthesia,Lenient,78.71,27.6,50
France,2023,Media,5.34,36.07,13.78,36.24,Synthesia,Moderate,58.85,35.86,88
France,2020,Automotive,20.37,39.06,44.06,83.18,Synthesia,Moderate,45.04,14.03,80
Germany,2022,Finance,12.55,12.61,3.82,25.44,Claude,Lenient,34.37,31.99,88
Canada,2022,Retail,65.71,8.92,19.32,40.95,Bard,Lenient,48.1,22.15,67
Japan,2023,Media,72.4,18.28,49.83,32.73,Claude,Moderate,42.97,28.45,72
South Korea,2023,Marketing,54.67,22.3,52.34,84.8,Stable Diffusion,Lenient,42.06,11.7,75
UK,2024,Gaming,3.4,14.58,67.9,66.23,DALL-E,Moderate,31.46,41.11,78
Germany,2021,Marketing,3.56,33.94,68.33,76.84,Claude,Lenient,41.73,39.04,81
Australia,2025,Gaming,61.24,37.25,43.72,20.21,Claude,Lenient,79.68,47.08,63
Japan,2022,Legal,94.06,37.36,17.2,20.37,Midjourney,Moderate,88.69,7.53,57
USA,2021,Manufacturing,66.33,24.27,34.95,47.21,Claude,Moderate,47.81,47.4,83
Canada,2023,Media,17.53,48.25,20.74,47.72,DALL-E,Moderate,87.9,29.32,61
Australia,2022,Gaming,80.3,25.11,74.04,51.67,Claude,Strict,78.51,17.66,90
Australia,2023,Retail,67.49,6.67,71.61,54.73,ChatGPT,Strict,53.96,29.35,91
USA,2022,Gaming,42.7,12.92,55.65,51.0,ChatGPT,Lenient,47.34,21.16,93
France,2020,Manufacturing,50.91,36.57,35.31,78.29,ChatGPT,Lenient,65.04,9.04,93
Germany,2023,Healthcare,30.56,31.35,60.23,46.53,ChatGPT,Moderate,70.19,30.79,89
India,2024,Finance,17.89,6.51,30.02,20.76,Claude,Moderate,32.28,26.84,50
Australia,2021,Gaming,75.93,43.3,10.63,61.88,DALL-E,Moderate,65.57,6.82,76
India,2022,Media,34.74,1.41,68.0,35.05,Stable Diffusion,Strict,88.43,34.83,68
India,2025,Retail,68.4,9.32,57.89,61.89,Midjourney,Moderate,78.14,41.3,68
UK,2020,Legal,50.7,1.04,0.58,68.07,Synthesia,Strict,37.36,28.87,50
China,2023,Legal,6.59,3.23,0.85,71.52,Midjourney,Strict,43.34,5.41,67
Australia,2024,Automotive,33.34,6.54,76.76,87.8,Claude,Strict,71.22,49.04,78
USA,2023,Finance,4.85,40.84,22.58,82.54,Bard,Moderate,76.14,35.3,83
China,2020,Education,94.67,37.59,44.7,78.66,ChatGPT,Lenient,64.86,3.86,71
Australia,2022,Retail,19.64,1.29,8.47,64.18,ChatGPT,Strict,59.15,13.48,79
UK,2023,Education,75.53,22.34,1.44,40.39,Midjourney,Strict,36.48,17.29,83
South Korea,2023,Legal,24.03,28.82,42.27,54.72,Stable Diffusion,Lenient,74.85,11.26,75
Japan,2024,Manufacturing,17.97,23.56,50.08,24.06,ChatGPT,Strict,77.96,5.46,83
India,2021,Education,82.49,6.68,50.72,81.71,DALL-E,Lenient,33.36,38.6,63
China,2020,Manufacturing,1.55,47.77,76.86,55.78,Midjourney,Moderate,57.09,12.1,73
UK,2022,Automotive,67.55,42.39,51.87,74.39,Synthesia,Strict,33.56,21.66,81
France,2024,Finance,94.47,26.42,28.86,57.06,Stable Diffusion,Strict,30.17,48.56,73
UK,2022,Gaming,15.64,10.14,3.8,33.44,Midjourney,Moderate,42.99,32.23,90
India,2024,Marketing,67.76,3.21,11.15,48.72,Synthesia,Strict,58.79,45.09,55
China,2025,Legal,44.74,42.89,78.5,39.34,DALL-E,Strict,78.54,32.72,88
Germany,2020,Finance,21.66,37.69,28.02,26.7,Midjourney,Moderate,40.8,37.87,72
UK,2021,Gaming,12.43,23.7,52.51,59.75,Stable Diffusion,Moderate,54.27,48.93,88
USA,2021,Gaming,7.92,40.55,52.54,50.3,Synthesia,Moderate,73.15,8.66,67
Japan,2021,Media,56.66,15.67,38.03,33.05,Midjourney,Lenient,74.86,49.08,76
South Korea,2021,Healthcare,38.18,21.57,17.6,20.43,Midjourney,Moderate,46.5,20.88,68
Japan,2025,Automotive,44.86,14.64,25.17,68.19,Midjourney,Strict,76.16,9.47,93
UK,2020,Education,64.57,23.88,69.35,55.02,Claude,Lenient,89.88,4.47,71
South Korea,2023,Finance,19.68,33.55,1.75,64.79,ChatGPT,Moderate,70.63,46.78,84
Canada,2022,Healthcare,90.69,37.9,9.78,67.03,DALL-E,Strict,63.92,47.98,52
South Korea,2024,Legal,92.02,29.64,73.89,81.93,DALL-E,Moderate,60.67,37.77,57
Canada,2021,Manufacturing,73.6,44.52,66.78,73.26,Midjourney,Lenient,89.07,20.52,50
France,2025,Media,87.25,12.32,54.75,82.48,DALL-E,Moderate,49.54,20.17,80
South Korea,2021,Healthcare,94.77,4.08,31.27,32.23,Bard,Lenient,51.34,1.18,54
Japan,2025,Manufacturing,90.28,49.65,26.79,25.29,Stable Diffusion,Strict,38.75,20.54,92
India,2025,Education,80.64,26.79,15.7,59.71,Bard,Strict,53.86,46.63,67
Germany,2023,Gaming,69.51,21.76,41.93,56.36,Bard,Strict,69.0,39.55,78
South Korea,2022,Gaming,26.14,8.89,6.35,58.99,Claude,Lenient,83.38,29.08,75
Canada,2025,Legal,6.81,30.99,76.88,57.0,DALL-E,Lenient,33.48,27.13,82
China,2021,Media,40.12,34.67,50.96,43.18,Midjourney,Moderate,61.28,25.64,85
China,2020,Retail,77.29,11.75,17.78,33.19,DALL-E,Strict,81.88,24.11,82
UK,2022,Marketing,16.63,47.25,68.91,60.15,ChatGPT,Strict,34.4,27.19,74
USA,2021,Marketing,56.52,15.98,69.17,51.21,Midjourney,Lenient,54.41,20.22,57
UK,2025,Healthcare,7.0,22.88,59.43,66.73,Synthesia,Lenient,43.37,21.52,84
South Korea,2025,Legal,10.91,17.3,57.82,45.95,Bard,Lenient,79.04,4.09,53
Australia,2021,Media,74.71,25.91,47.8,82.92,DALL-E,Strict,49.17,43.77,57
China,2025,Gaming,66.6,29.79,23.17,58.46,Bard,Moderate,41.08,8.39,70
France,2020,Legal,41.41,38.39,19.26,88.29,DALL-E,Strict,45.13,6.24,64
China,2020,Manufacturing,16.96,20.47,26.27,83.71,ChatGPT,Moderate,70.17,45.17,93
South Korea,2025,Healthcare,20.96,24.08,2.49,84.48,Claude,Strict,60.05,42.29,87
UK,2020,Education,35.37,37.69,49.79,53.15,Stable Diffusion,Moderate,35.56,47.38,67
India,2025,Retail,78.99,3.82,0.73,70.78,Stable Diffusion,Lenient,70.39,45.49,76
Japan,2023,Manufacturing,7.24,17.23,47.61,43.84,ChatGPT,Lenient,34.52,39.19,79
USA,2021,Education,98.77,38.22,67.17,87.65,Synthesia,Lenient,31.54,31.14,73
India,2020,Automotive,5.21,41.36,53.59,23.62,DALL-E,Moderate,37.89,34.26,64
Australia,2020,Finance,47.75,27.81,55.74,74.99,Synthesia,Moderate,68.67,9.18,70
India,2020,Education,19.97,33.75,15.07,64.12,Stable Diffusion,Moderate,48.13,40.32,70
China,2023,Healthcare,60.93,32.2,14.67,61.33,Claude,Moderate,83.72,32.54,81
UK,2024,Automotive,71.06,44.65,28.93,39.83,DALL-E,Lenient,33.51,49.28,83
India,2020,Retail,27.55,48.33,31.86,75.36,Bard,Moderate,73.23,9.67,94
UK,2020,Automotive,26.18,31.41,57.91,63.9,Midjourney,Lenient,83.66,6.21,63
France,2021,Gaming,64.1,38.29,27.12,24.78,Stable Diffusion,Moderate,75.6,32.81,55
Canada,2020,Education,56.38,29.34,28.55,39.5,Claude,Strict,30.81,3.26,61
Japan,2023,Marketing,51.37,40.3,3.84,72.92,Claude,Moderate,76.92,27.59,73
Canada,2020,Healthcare,36.33,22.77,24.34,40.04,ChatGPT,Lenient,45.16,15.34,68
France,2020,Media,41.06,29.26,51.9,49.04,ChatGPT,Moderate,50.12,46.08,55
Japan,2024,Marketing,14.83,2.86,26.45,47.53,DALL-E,Moderate,59.28,20.74,88
India,2024,Healthcare,61.0,41.04,77.48,28.32,Midjourney,Moderate,70.17,30.75,60
UK,2020,Finance,20.18,17.85,10.99,85.27,Claude,Moderate,32.96,32.23,88
USA,2021,Education,40.86,28.82,74.04,70.58,Stable Diffusion,Strict,60.03,12.22,88
Canada,2020,Gaming,16.05,46.78,62.71,68.18,Synthesia,Strict,60.09,31.02,51
India,2024,Media,5.84,36.8,60.81,42.56,Stable Diffusion,Strict,43.6,14.06,52
France,2024,Healthcare,51.28,23.6,23.16,84.93,ChatGPT,Strict,85.01,24.33,77
India,2020,Automotive,36.49,29.72,76.74,69.01,ChatGPT,Moderate,48.27,44.8,80
Canada,2025,Marketing,84.82,26.41,4.72,33.28,Synthesia,Moderate,64.49,45.04,78
South Korea,2025,Gaming,35.53,28.46,7.11,63.48,ChatGPT,Moderate,31.33,11.61,82
Germany,2021,Automotive,52.98,48.47,12.14,30.6,DALL-E,Lenient,77.21,44.35,89
Germany,2020,Media,28.26,27.62,57.86,58.71,DALL-E,Strict,78.74,31.73,70
France,2023,Marketing,49.83,39.94,79.44,43.73,Synthesia,Lenient,81.58,14.62,66
